36	25	15																																	
118.824	3.88238388	2.98641405	1.00E+50	15.837528	12.671847	0.9	33																												
25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000	25000
12000	6000000	107000000	12000	6000000	107000000	12000	6000000	107000000	12000	6000000	107000000	12000	6000000	107000000																					
29.2199	8.5201	4.34256	32.5048	9.7224	3.5884	38.2905	12.2471	6.5628	87.5716	25.5347	13.01456	35.5165	10.203	4.8232																					
1.9203	0.588	0.5283	0.8331	0.2562	0.187	1.8901	0.5787	0.52	4.2	1.0642	0.6872	0.811	0.231	0.132																					
0.0457	0.1321	0.414	0.0457	0.1321	0.414	0.8321	0.9246	0.9246	0.8321	0.9246	0.9246	0.0457	0.132	0.414																					
3.3	1.08	0.39	1.75	1.33	1.25	3.29	2.87	2.79	3.83	2.91	2.84	2.012	1.549	1.322																					
0.70917	1.58206	2.55008	3.53595	4.52802	1.58206	2.12201	2.91598	3.80827	4.74372	2.55008	2.91598	3.53595	4.3015	5.1481	3.53595	3.80827	4.3015	4.95004	5.70113	4.52802	4.74372	5.1481	5.70113	6.36419											
0.70917	0.70917	1.58206	2.55008	3.53595	1.58206	1.58206	2.12201	2.91598	3.80827	2.55008	2.55008	2.91598	3.53595	4.3015	3.53595	3.53595	3.80827	4.3015	4.95004	4.52802	4.52802	4.74372	5.1481	5.70113											
1.58206	0.70917	0.70917	1.58206	2.55008	2.12201	1.58206	1.58206	2.12201	2.91598	2.91598	2.55008	2.55008	2.91598	3.53595	3.80827	3.53595	3.53595	3.80827	4.3015	4.74372	4.52802	4.52802	4.74372	5.1481											
2.55008	1.58206	0.70917	0.70917	1.58206	2.91598	2.12201	1.58206	1.58206	2.12201	3.53595	2.91598	2.55008	2.55008	2.91598	4.3015	3.80827	3.53595	3.53595	3.80827	5.1481	4.74372	4.52802	4.52802	4.74372											
3.53595	2.55008	1.58206	0.70917	0.70917	3.80827	2.91598	2.12201	1.58206	1.58206	4.3015	3.53595	2.91598	2.55008	2.55008	4.95004	4.3015	3.80827	3.53595	3.53595	5.70113	5.1481	4.74372	4.52802	4.52802											
4.52802	3.53595	2.55008	1.58206	0.70917	4.74372	3.80827	2.91598	2.12201	1.58206	5.1481	4.3015	3.53595	2.91598	2.55008	5.70113	4.95004	4.3015	3.80827	3.53595	6.36419	5.70113	5.1481	4.74372	4.52802											
0.70917	1.58206	2.55008	3.53595	4.52802	0.70917	1.58206	2.55008	3.53595	4.52802	1.58206	2.12201	2.91598	3.80827	4.74372	2.55008	2.91598	3.53595	4.3015	5.1481	3.53595	3.80827	4.3015	4.95004	5.70113											
0.70917	0.70917	1.58206	2.55008	3.53595	0.70917	0.70917	1.58206	2.55008	3.53595	1.58206	1.58206	2.12201	2.91598	3.80827	2.55008	2.55008	2.91598	3.53595	4.3015	3.53595	3.53595	3.80827	4.3015	4.95004											
1.58206	0.70917	0.70917	1.58206	2.55008	1.58206	0.70917	0.70917	1.58206	2.55008	2.12201	1.58206	1.58206	2.12201	2.91598	2.91598	2.55008	2.55008	2.91598	3.53595	3.80827	3.53595	3.53595	3.80827	4.3015											
2.55008	1.58206	0.70917	0.70917	1.58206	2.55008	1.58206	0.70917	0.70917	1.58206	2.91598	2.12201	1.58206	1.58206	2.12201	3.53595	2.91598	2.55008	2.55008	2.91598	4.3015	3.80827	3.53595	3.53595	3.80827											
3.53595	2.55008	1.58206	0.70917	0.70917	3.53595	2.55008	1.58206	0.70917	0.70917	3.80827	2.91598	2.12201	1.58206	1.58206	4.3015	3.53595	2.91598	2.55008	2.55008	4.95004	4.3015	3.80827	3.53595	3.53595											
4.52802	3.53595	2.55008	1.58206	0.70917	4.52802	3.53595	2.55008	1.58206	0.70917	4.74372	3.80827	2.91598	2.12201	1.58206	5.1481	4.3015	3.53595	2.91598	2.55008	5.70113	4.95004	4.3015	3.80827	3.53595											
1.58206	2.12201	2.91598	3.80827	4.74372	0.70917	1.58206	2.55008	3.53595	4.52802	0.70917	1.58206	2.55008	3.53595	4.52802	1.58206	2.12201	2.91598	3.80827	4.74372	2.55008	2.91598	3.53595	4.3015	5.1481											
1.58206	1.58206	2.12201	2.91598	3.80827	0.70917	0.70917	1.58206	2.55008	3.53595	0.70917	0.70917	1.58206	2.55008	3.53595	1.58206	1.58206	2.12201	2.91598	3.80827	2.55008	2.55008	2.91598	3.53595	4.3015											
